Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,Temperature (°C),Humidity (%),Relative Wind Direction (°),Precipitation (mm),Snow (mm),Wind Speed (m/s),COCO,Team,Weather Classified
"Monday, Jul 31",CHC,Home,CIN,L,5.0,6.0,9.0,53-53,3.0,5.0,Farmer,Stroman,Díaz,2.85,N,34688.0,1.09,-2,,22.8,46.0,72.38427116,0.0,,9.4,0.037037037037037,CHC,2
"Tuesday, Aug 1",CHC,Home,CIN,W,20.0,9.0,9.0,54-53,3.0,4.0,Steele,Lively,,2.9,N,33452.0,0.98,1,,23.3,56.0,92.38427116,0.0,,7.6,0.037037037037037,CHC,2
"Wednesday, Aug 2",CHC,Home,CIN,W,16.0,6.0,9.0,55-53,3.0,3.0,Fulmer,Farmer,,2.9166666666666665,N,33991.0,1.06,2,,25.6,56.0,172.38427116,0.0,,9.4,0.1111111111111111,CHC,3
"Thursday, Aug 3",CHC,Home,CIN,W,5.0,3.0,9.0,56-53,3.0,2.5,Taillon,Weaver,Alzolay,2.716666666666667,N,35615.0,1.16,3,,24.4,67.0,172.38427116,0.0,,13.0,0.1111111111111111,CHC,2
"Friday, Aug 4",CHC,Home,ATL,L,0.0,8.0,9.0,56-54,3.0,2.5,Fried,Hendricks,,2.15,D,36225.0,1.06,-1,,26.7,62.0,252.38427116,0.0,,9.4,0.1111111111111111,CHC,3
"Saturday, Aug 5",CHC,Home,ATL,W,8.0,6.0,9.0,57-54,3.0,2.5,Fulmer,Elder,,3.1666666666666665,D,40201.0,1.02,1,,23.3,74.0,2.3842711599999973,0.0,,13.0,0.1111111111111111,CHC,2
"Sunday, Aug 6",CHC,Home,ATL,W,6.0,4.0,9.0,58-54,2.0,1.5,Steele,Morton,Alzolay,2.8666666666666667,D,39015.0,1.09,2,,21.1,82.0,42.38427116,0.0,,24.1,0.2592592592592592,CHC,2
"Monday, Aug 7",CHC,@,NYM,L,2.0,11.0,9.0,58-55,3.0,2.5,Senga,Smyly,,2.7666666666666666,N,29070.0,1.24,-1,,23.9,79.0,166.00885818,0.0,,14.8,0.1111111111111111,CHC,2
"Tuesday, Aug 8",CHC,@,NYM,W,3.0,2.0,9.0,59-55,2.0,1.5,Taillon,Smith,Alzolay,2.4833333333333334,N,29640.0,1.14,1,,22.2,87.0,216.00885818,1.4,,11.2,0.6666666666666666,CHC,2
"Wednesday, Aug 9",CHC,@,NYM,L,3.0,4.0,9.0,59-56,2.0,2.5,Hartwig,Wesneski,Bickford,3.1,N,37527.0,1.22,-1,,23.3,62.0,252.00885818,0.0,,11.2,0.037037037037037,CHC,2
"Friday, Aug 11",CHC,@,TOR,W,6.0,2.0,9.0,60-56,2.0,2.5,Assad,Berríos,,2.7666666666666666,N,41814.0,1.09,1,,21.5,74.0,343.9095893,0.0,,11.2,0.037037037037037,CHC,2
"Saturday, Aug 12",CHC,@,TOR,W,5.0,4.0,9.0,61-56,2.0,2.5,Merryweather,Hicks,Alzolay,2.7666666666666666,D,42585.0,1.14,2,,22.1,68.0,207.9095893,0.0,,19.8,0.1111111111111111,CHC,2
"Sunday, Aug 13",CHC,@,TOR,L,4.0,11.0,9.0,61-57,2.0,3.5,Ryu,Taillon,,2.9333333333333336,D,41960.0,1.18,-1,,22.6,69.0,66.9095893,0.0,,7.2,0.037037037037037,CHC,2
"Tuesday, Aug 15",CHC,Home,CHW,L,3.0,5.0,9.0,61-58,2.0,3.5,Ramsey,Merryweather,Santos,2.7,N,40389.0,1.1,-2,,19.4,91.0,262.38427116,0.3,,16.6,0.1111111111111111,CHC,1
"Wednesday, Aug 16",CHC,Home,CHW,W-wo,4.0,3.0,9.0,62-58,2.0,2.5,Smyly,Santos,,2.45,N,40869.0,1.07,1,,21.1,57.0,352.38427116,0.0,,5.4,0.037037037037037,CHC,2
"Friday, Aug 18",CHC,Home,KCR,L,3.0,4.0,9.0,62-59,3.0,3.0,Ragans,Taillon,Hernández,2.716666666666667,D,37936.0,1.08,-1,,21.7,51.0,302.38427116,0.0,,25.9,0.037037037037037,CHC,2
"Saturday, Aug 19",CHC,Home,KCR,W,6.0,4.0,9.0,63-59,2.0,3.0,Steele,Singer,Alzolay,2.5666666666666664,D,39525.0,1.01,1,,21.1,46.0,142.38427116,0.0,,11.2,0.1111111111111111,CHC,2
"Sunday, Aug 20",CHC,Home,KCR,W,4.0,3.0,9.0,64-59,2.0,3.0,Hendricks,Lyles,Alzolay,2.033333333333333,D,36949.0,1.1,2,,25.0,60.0,152.38427116,0.0,,13.0,0.074074074074074,CHC,3
"Monday, Aug 21",CHC,@,DET,W,7.0,6.0,9.0,65-59,2.0,2.5,Palencia,Brieske,Leiter,2.8666666666666667,N,20560.0,1.13,3,,24.0,89.0,58.7729507,0.0,,7.6,0.074074074074074,CHC,2
"Tuesday, Aug 22",CHC,@,DET,L,6.0,8.0,9.0,65-60,2.0,3.5,Holton,Smyly,Lange,2.833333333333333,N,21211.0,1.12,-1,,20.0,73.0,238.7729507,0.0,,22.3,0.1111111111111111,CHC,1
"Wednesday, Aug 23",CHC,@,DET,W,6.0,4.0,9.0,66-60,2.0,3.5,Merryweather,Brieske,Alzolay,2.6666666666666665,D,21965.0,1.14,1,,16.0,94.0,8.772950699999996,0.0,,7.6,0.037037037037037,CHC,0
"Thursday, Aug 24",CHC,@,PIT,W,5.0,4.0,10.0,67-60,2.0,3.0,Palencia,Hatch,Alzolay,2.7333333333333334,N,14651.0,1.14,2,,20.0,87.0,143.4235757,2.3,,20.5,0.2592592592592592,CHC,1
"Friday, Aug 25",CHC,@,PIT,L,1.0,2.0,9.0,67-61,2.0,4.0,Keller,Hendricks,Bednar,2.2,N,24379.0,1.18,-1,,25.0,77.0,63.4235757,0.0,,11.2,0.2592592592592592,CHC,3
"Saturday, Aug 26",CHC,@,PIT,W,10.0,6.0,9.0,68-61,2.0,4.0,Wicks,Bido,Alzolay,3.1333333333333333,N,34782.0,1.18,1,,21.7,84.0,193.4235757,0.0,,9.4,0.074074074074074,CHC,2
"Sunday, Aug 27",CHC,@,PIT,W,10.0,1.0,9.0,69-61,2.0,4.0,Assad,Falter,,2.6666666666666665,D,19154.0,1.09,2,,21.7,76.0,243.4235757,0.0,,16.6,0.1111111111111111,CHC,2
"Monday, Aug 28",CHC,Home,MIL,L,2.0,6.0,9.0,69-62,2.0,5.0,Miley,Taillon,,2.3,N,35097.0,1.23,-1,,19.4,68.0,352.38427116,0.0,,9.4,0.037037037037037,CHC,1
"Tuesday, Aug 29",CHC,Home,MIL,W,1.0,0.0,9.0,70-62,2.0,4.0,Steele,Burnes,Alzolay,2.5,N,33294.0,1.23,1,,21.7,53.0,102.38427116,0.0,,5.4,0.037037037037037,CHC,2
"Wednesday, Aug 30",CHC,Home,MIL,W,3.0,2.0,9.0,71-62,2.0,3.0,Alzolay,Payamps,,2.5166666666666666,D,31769.0,1.2,2,,20.6,73.0,2.3842711599999973,0.0,,13.0,0.037037037037037,CHC,1
"Saturday, Sep 2",CHC,@,CIN,L-wo,1.0,2.0,9.0,72-64,2.0,4.5,Moll,Leiter,,2.6833333333333336,N,38246.0,1.34,-2,,19.4,87.0,237.6572646,0.0,,0.0,0.037037037037037,CHC,1
"Sunday, Sep 3",CHC,@,CIN,W,15.0,7.0,9.0,73-64,2.0,3.5,Palencia,Law,,3.283333333333333,D,37029.0,1.49,1,,23.3,40.0,237.6572646,0.0,,0.0,0.037037037037037,CHC,2
"Monday, Sep 4",CHC,Home,SFG,W,5.0,0.0,9.0,74-64,2.0,2.5,Steele,Webb,,1.9833333333333332,D,39452.0,1.28,2,,28.9,57.0,172.38427116,0.0,,13.0,0.037037037037037,CHC,3
"Tuesday, Sep 5",CHC,Home,SFG,W,11.0,8.0,9.0,75-64,2.0,2.5,Smyly,Jackson,,3.183333333333333,N,28684.0,1.18,3,,28.3,68.0,152.38427116,0.0,,14.8,0.1111111111111111,CHC,3
"Wednesday, Sep 6",CHC,Home,SFG,W,8.0,2.0,9.0,76-64,2.0,1.5,Wicks,Wood,,2.3,D,27443.0,1.05,4,,28.3,59.0,152.38427116,0.0,,20.5,0.037037037037037,CHC,3
"Thursday, Sep 7",CHC,Home,ARI,L,2.0,6.0,9.0,76-65,2.0,2.0,Nelson,Assad,Sewald,2.5666666666666664,N,28814.0,1.09,-1,,20.6,90.0,222.38427116,0.5,,14.8,0.6296296296296297,CHC,2
"Friday, Sep 8",CHC,Home,ARI,L,0.0,1.0,9.0,76-66,2.0,3.0,Gallen,Cuas,,2.2666666666666666,D,31846.0,1.25,-2,,19.4,71.0,322.38427116,0.0,,13.0,0.1111111111111111,CHC,1
"Saturday, Sep 9",CHC,Home,ARI,L,2.0,3.0,10.0,76-67,2.0,4.0,Ginkel,Palencia,Sewald,3.2,D,40391.0,1.5,-3,,17.8,73.0,332.38427116,0.0,,14.8,0.037037037037037,CHC,1
"Sunday, Sep 10",CHC,Home,ARI,W,5.0,2.0,9.0,77-67,2.0,3.0,Hendricks,Mantiply,Merryweather,2.283333333333333,D,35431.0,1.55,1,,18.3,61.0,342.38427116,0.0,,5.4,0.037037037037037,CHC,1
"Monday, Sep 11",CHC,@,COL,W,5.0,4.0,9.0,78-67,2.0,3.0,Smyly,Kinley,Fulmer,2.966666666666667,N,30620.0,1.25,2,,15.0,74.0,46.037509228,0.0,,22.2,0.2592592592592592,CHC,0
"Tuesday, Sep 12",CHC,@,COL,L,4.0,6.0,9.0,78-68,2.0,4.0,Bird,Palencia,Lawrence,2.9166666666666665,N,32058.0,1.14,-1,,14.9,71.0,98.037509228,0.0,,13.0,0.074074074074074,CHC,0
"Wednesday, Sep 13",CHC,@,COL,L,3.0,7.0,9.0,78-69,2.0,4.0,Blach,Taillon,Kinley,2.7333333333333334,D,32171.0,1.21,-2,,17.0,59.0,138.037509228,0.0,,16.7,0.074074074074074,CHC,1
"Friday, Sep 15",CHC,@,ARI,L,4.0,6.0,9.0,78-70,2.0,5.5,Pfaadt,Steele,,2.2333333333333334,N,32864.0,1.71,-3,,35.6,14.0,340.2508321,0.0,,9.4,0.074074074074074,CHC,3
"Saturday, Sep 16",CHC,@,ARI,L-wo,6.0,7.0,13.0,78-71,2.0,6.5,Mantiply,Wesneski,,4.4,N,35193.0,2.05,-4,,34.4,15.0,0.2508321000000251,0.0,,0.0,0.074074074074074,CHC,3
"Sunday, Sep 17",CHC,@,ARI,L,2.0,6.0,9.0,78-72,2.0,6.5,Frías,Wicks,,3.15,D,26307.0,2.34,-5,,37.2,10.0,0.2508321000000251,0.0,,0.0,0.074074074074074,CHC,3
"Tuesday, Sep 19",CHC,Home,PIT,W,14.0,1.0,9.0,79-72,2.0,6.0,Assad,Falter,,2.6333333333333333,N,34202.0,1.76,1,,17.2,70.0,92.38427116,0.0,,9.4,0.074074074074074,CHC,1
"Wednesday, Sep 20",CHC,Home,PIT,L,7.0,13.0,9.0,79-73,2.0,7.0,Keller,Steele,,2.966666666666667,N,31491.0,1.91,-1,,18.9,78.0,82.38427116,0.0,,18.4,0.1111111111111111,CHC,1
"Thursday, Sep 21",CHC,Home,PIT,L,6.0,8.0,9.0,79-74,2.0,8.0,Oviedo,Hendricks,,3.033333333333333,N,31544.0,1.89,-2,,21.7,66.0,322.38427116,0.0,,0.0,0.1111111111111111,CHC,2
"Friday, Sep 22",CHC,Home,COL,W,6.0,0.0,9.0,80-74,2.0,8.0,Taillon,Davis,,2.6333333333333333,D,32150.0,1.74,1,,21.7,81.0,52.38427116,0.0,,7.6,0.1111111111111111,CHC,2
"Saturday, Sep 23",CHC,Home,COL,W,6.0,3.0,9.0,81-74,2.0,7.0,Assad,Mears,Cuas,2.9166666666666665,D,38608.0,2.05,2,,23.9,55.0,62.38427116,0.0,,13.0,0.1111111111111111,CHC,2
"Sunday, Sep 24",CHC,Home,COL,W,4.0,3.0,9.0,82-74,2.0,6.0,Wicks,Blach,Merryweather,2.5166666666666666,D,37060.0,2.03,3,,21.1,53.0,72.38427116,0.0,,18.4,0.1111111111111111,CHC,2
"Tuesday, Sep 26",CHC,@,ATL,L,6.0,7.0,9.0,82-75,2.0,6.0,Hand,Smyly,Iglesias,2.8166666666666664,N,40151.0,2.2,-1,,20.6,81.0,202.35313,0.0,,0.0,0.1111111111111111,CHC,1
"Wednesday, Sep 27",CHC,@,ATL,L-wo,5.0,6.0,10.0,82-76,2.0,7.0,Chavez,Palencia,,2.85,N,37246.0,2.52,-2,,23.9,76.0,282.35313,0.0,,5.4,0.1111111111111111,CHC,2
"Thursday, Sep 28",CHC,@,ATL,L,3.0,5.0,9.0,82-77,2.0,8.0,Wright,Stroman,Iglesias,2.716666666666667,N,40249.0,2.47,-3,,21.1,76.0,272.35313,0.0,,14.8,0.1111111111111111,CHC,2
"Friday, Sep 29",CHC,@,MIL,L-wo,3.0,4.0,10.0,82-78,2.0,9.0,Boushley,Cuas,,3.05,N,39216.0,2.77,-4,,18.3,78.0,231.1462953,0.0,,0.0,0.074074074074074,CHC,1
"Saturday, Sep 30",CHC,@,MIL,W,10.0,6.0,9.0,83-78,2.0,8.0,Wesneski,Lauer,Taillon,3.033333333333333,N,42652.0,0.94,1,,17.8,84.0,31.14629529999999,0.0,,9.4,0.074074074074074,CHC,1
"Sunday, Oct 1",CHC,@,MIL,L,0.0,4.0,9.0,83-79,2.0,9.0,Houser,Smyly,,2.3833333333333333,D,42946.0,0.0,-1,,21.1,73.0,31.14629529999999,0.0,,7.6,0.074074074074074,CHC,2
"Thursday, Mar 30",CHW,@,HOU,W,3.0,2.0,9.0,1-0,1.0,Tied,Graveman,Pressly,López,2.6333333333333333,N,43032.0,0.94,1,,17.0,68.0,136.8261586,0.0,,18.4,0.1111111111111111,CHW,1
"Friday, Mar 31",CHW,@,HOU,L,3.0,6.0,9.0,1-1,2.0,0.5,Martinez,Graveman,Montero,2.6666666666666665,N,41453.0,1.01,-1,,23.0,89.0,176.8261586,0.0,,22.3,0.1851851851851851,CHW,2
"Saturday, Apr 1",CHW,@,HOU,L,4.0,6.0,9.0,1-2,3.0,1.5,Stanek,Kelly,Neris,3.183333333333333,D,37519.0,0.97,-2,,23.0,94.0,176.8261586,0.0,,16.6,0.1851851851851851,CHW,2
"Sunday, Apr 2",CHW,@,HOU,W,6.0,3.0,9.0,2-2,3.0,1.5,Clevinger,Garcia,,3.1,D,42835.0,0.89,1,,24.0,54.0,166.8261586,0.0,,13.0,0.1111111111111111,CHW,2
"Monday, Apr 3",CHW,Home,SFG,L,3.0,12.0,9.0,2-3,3.0,2.5,DeSclafani,Kopech,,2.6,D,34784.0,0.93,-1,,11.7,54.0,62.93932770000001,0.0,,22.3,0.037037037037037,CHW,0
"Wednesday, Apr 5",CHW,Home,SFG,W,7.0,3.0,9.0,3-3,3.0,1.5,Cease,Webb,,2.8166666666666664,D,15980.0,0.89,1,,20.0,81.0,2.939327700000007,0.3,,20.5,0.2592592592592592,CHW,1
"Thursday, Apr 6",CHW,Home,SFG,L,6.0,16.0,9.0,3-4,3.0,2.0,Junis,Lynn,,2.833333333333333,D,18261.0,0.88,-1,,5.0,65.0,122.9393277,0.0,,22.3,0.1111111111111111,CHW,0
"Friday, Apr 7",CHW,@,PIT,L,9.0,13.0,9.0,3-5,3.0,2.5,Moreta,Diekman,Crowe,2.8,D,39167.0,0.86,-2,,8.3,48.0,143.4235757,0.0,,5.4,0.1481481481481481,CHW,0
"Saturday, Apr 8",CHW,@,PIT,W,11.0,5.0,9.0,4-5,3.0,2.5,Clevinger,Velasquez,,3.066666666666667,N,21162.0,0.83,1,,3.9,39.0,273.4235757,0.0,,14.8,0.1111111111111111,CHW,0
"Sunday, Apr 9",CHW,@,PIT,L,0.0,1.0,9.0,4-6,3.0,2.5,Oviedo,Kopech,Bednar,2.35,D,10571.0,0.87,-1,,7.2,35.0,233.4235757,0.0,,9.4,0.1111111111111111,CHW,0
"Monday, Apr 10",CHW,@,MIN,W,4.0,3.0,9.0,5-6,3.0,2.0,Cease,Maeda,López,2.65,D,12078.0,0.95,1,,11.7,61.0,269.49605421,0.0,,0.0,0.1111111111111111,CHW,0
"Tuesday, Apr 11",CHW,@,MIN,L-wo,3.0,4.0,10.0,5-7,3.0,2.5,Jax,Scholtens,,2.3833333333333333,N,16153.0,1.03,-1,,14.4,39.0,269.49605421,0.0,,0.0,0.1111111111111111,CHW,0
"Wednesday, Apr 12",CHW,@,MIN,L,1.0,3.0,9.0,5-8,3.0,3.5,Gray,Giolito,Durán,2.6166666666666667,D,17658.0,1.02,-2,,22.8,29.0,89.49605421,0.0,,14.8,0.037037037037037,CHW,2
"Friday, Apr 14",CHW,Home,BAL,L,3.0,6.0,9.0,5-9,3.0,5.0,Baumann,López,Bautista,2.966666666666667,N,18941.0,0.82,-3,,24.4,25.0,62.93932770000001,0.0,,11.2,0.037037037037037,CHW,2
"Saturday, Apr 15",CHW,Home,BAL,W-wo,7.0,6.0,10.0,6-9,3.0,4.0,Lambert,Gillaspie,,3.35,D,32091.0,0.76,1,,20.6,36.0,232.9393277,0.0,,0.0,0.1111111111111111,CHW,1
"Sunday, Apr 16",CHW,Home,BAL,L,4.0,8.0,9.0,6-10,3.0,4.0,Baumann,Bummer,,2.7666666666666666,D,13794.0,0.81,-1,,23.9,43.0,62.93932770000001,0.0,,14.8,0.1111111111111111,CHW,2
"Wednesday, Apr 19",CHW,Home,PHI,L,2.0,5.0,9.0,7-12,4.0,4.5,Walker,Clevinger,Alvarado,2.3833333333333333,D,10149.0,0.76,-1,,9.4,46.0,332.93932770000004,0.0,,7.6,0.037037037037037,CHW,0
"Friday, Apr 21",CHW,@,TBR,L-wo,7.0,8.0,9.0,7-13,4.0,4.0,Kelly,López,,2.85,N,17973.0,0.7,-2,,23.9,74.0,31.0,0.0,,33.5,0.037037037037037,CHW,2
"Saturday, Apr 22",CHW,@,TBR,L-wo,3.0,4.0,10.0,7-14,4.0,4.0,Cleavinger,Lambert,,2.8833333333333333,D,22333.0,0.72,-3,,23.9,82.0,311.0,0.0,,0.0,0.1111111111111111,CHW,2
"Sunday, Apr 23",CHW,@,TBR,L,1.0,4.0,9.0,7-15,4.0,5.0,Eflin,Giolito,Fairbanks,2.033333333333333,D,22702.0,0.65,-4,,24.4,85.0,261.0,0.0,,9.4,0.037037037037037,CHW,2
"Monday, Apr 24",CHW,@,TOR,L,2.0,5.0,9.0,7-16,4.0,6.0,Bassitt,Lynn,Romano,2.6666666666666665,N,26293.0,0.59,-5,,6.6,66.0,351.9095893,0.0,,10.1,0.1111111111111111,CHW,0
"Tuesday, Apr 25",CHW,@,TOR,L,0.0,7.0,9.0,7-17,4.0,7.0,Berríos,Clevinger,,2.4,N,28917.0,0.57,-6,,5.7,56.0,156.9095893,0.0,,8.6,0.074074074074074,CHW,0
"Wednesday, Apr 26",CHW,@,TOR,L,0.0,8.0,9.0,7-18,4.0,7.0,Kikuchi,Kopech,,2.533333333333333,D,35069.0,0.48,-7,,5.5,80.0,234.9095893,0.0,,20.5,0.1111111111111111,CHW,0
"Thursday, Apr 27",CHW,Home,TBR,L,5.0,14.0,9.0,7-19,4.0,8.0,McClanahan,Cease,,2.7333333333333334,N,11060.0,0.44,-8,,5.6,67.0,332.93932770000004,0.0,,11.2,0.037037037037037,CHW,0
"Friday, Apr 28",CHW,Home,TBR,L,2.0,3.0,9.0,7-20,4.0,9.0,Poche,Graveman,Kelly,2.6,N,16681.0,0.41,-9,,11.1,52.0,302.93932770000004,0.0,,13.0,0.1111111111111111,CHW,0
"Saturday, Apr 29",CHW,Home,TBR,L,3.0,12.0,9.0,7-21,4.0,9.0,Chirinos,Lynn,,2.8833333333333333,N,28462.0,0.35,-10,,9.4,48.0,212.9393277,0.0,,5.4,0.074074074074074,CHW,0
"Sunday, Apr 30",CHW,Home,TBR,W-wo,12.0,9.0,9.0,8-21,4.0,9.0,Bummer,Beeks,,3.4,D,17049.0,0.31,1,,10.0,58.0,172.9393277,0.0,,18.4,0.1111111111111111,CHW,0
"Tuesday, May 2",CHW,Home,MIN,W-wo,3.0,2.0,10.0,9-21,4.0,8.0,Lambert,Thielbar,,2.7333333333333334,N,13094.0,0.39,2,,10.0,56.0,182.9393277,0.0,,25.9,0.1111111111111111,CHW,0
"Wednesday, May 3",CHW,Home,MIN,W,6.0,4.0,9.0,10-21,4.0,7.0,Santos,Jax,Middleton,2.7,N,11468.0,0.45,3,,9.4,54.0,232.9393277,0.0,,20.5,0.1111111111111111,CHW,0
"Thursday, May 4",CHW,Home,MIN,L,3.0,7.0,12.0,10-22,4.0,8.0,Pagán,Colomé,,3.6166666666666663,D,14650.0,0.5,-1,,8.3,68.0,2.939327700000007,0.0,,5.4,0.1111111111111111,CHW,0
"Friday, May 5",CHW,@,CIN,W,5.0,4.0,9.0,11-22,4.0,8.0,Lynn,Greene,López,2.5,N,23467.0,0.35,1,,8.9,83.0,237.6572646,0.0,,0.0,0.037037037037037,CHW,1
"Saturday, May 6",CHW,@,CIN,L,3.0,5.0,9.0,11-23,4.0,8.0,Law,Clevinger,Díaz,2.5666666666666664,N,25543.0,0.38,-1,,12.8,77.0,277.6572646,0.0,,7.6,0.1111111111111111,CHW,0
"Sunday, May 7",CHW,@,CIN,W,17.0,4.0,9.0,12-23,4.0,7.0,Kopech,Ashcraft,,2.833333333333333,D,20338.0,0.33,1,,16.7,86.0,237.6572646,0.0,,0.0,0.1111111111111111,CHW,1
"Monday, May 8",CHW,@,KCR,L,5.0,12.0,9.0,12-24,4.0,7.5,Cuas,Cease,,2.9166666666666665,N,9814.0,0.38,-1,,26.7,64.0,133.28981806000002,0.0,,22.3,0.2962962962962963,CHW,3
"Tuesday, May 9",CHW,@,KCR,W,4.0,2.0,9.0,13-24,4.0,6.5,Giolito,Lyles,Graveman,2.033333333333333,N,11258.0,0.39,1,,25.0,50.0,3.2898180600000018,0.0,,11.2,0.037037037037037,CHW,3
"Wednesday, May 10",CHW,@,KCR,L,1.0,9.0,9.0,13-25,4.0,7.5,Keller,Lynn,,2.35,N,12187.0,0.41,-1,,20.6,68.0,23.28981806,0.0,,14.8,0.1111111111111111,CHW,1
"Thursday, May 11",CHW,@,KCR,L-wo,3.0,4.0,9.0,13-26,4.0,8.5,Barlow,López,,2.333333333333333,D,20321.0,0.35,-2,,25.6,58.0,63.28981806,0.0,,7.6,0.1111111111111111,CHW,3
"Friday, May 12",CHW,Home,HOU,L,1.0,5.0,9.0,13-27,4.0,8.5,France,Kopech,,2.65,N,18673.0,0.33,-3,,19.4,42.0,322.93932770000004,0.0,,7.6,0.1111111111111111,CHW,1
"Saturday, May 13",CHW,Home,HOU,W,3.0,1.0,9.0,14-27,4.0,8.5,Kelly,Montero,Graveman,2.6166666666666667,N,23242.0,0.27,1,,16.7,90.0,242.9393277,0.3,,13.0,0.1111111111111111,CHW,1
"Sunday, May 14",CHW,Home,HOU,L,3.0,4.0,9.0,14-28,4.0,9.5,Brown,Giolito,Pressly,2.55,D,18347.0,0.3,-1,,14.4,72.0,262.93932770000004,0.0,,14.8,0.1111111111111111,CHW,0
"Tuesday, May 16",CHW,Home,CLE,W,8.0,3.0,9.0,15-28,4.0,9.0,Lynn,Bieber,,2.4,N,18459.0,0.29,1,,13.3,37.0,342.93932770000004,0.0,,9.4,0.1111111111111111,CHW,0
"Wednesday, May 17",CHW,Home,CLE,W,7.0,2.0,9.0,16-28,4.0,8.0,Clevinger,Battenfield,,2.55,N,12241.0,0.3,2,,12.8,62.0,242.9393277,0.0,,18.4,0.1111111111111111,CHW,0
"Thursday, May 18",CHW,Home,CLE,L,1.0,3.0,9.0,16-29,4.0,8.5,Sandlin,Cease,Clase,2.283333333333333,D,11900.0,0.36,-1,,9.4,63.0,252.9393277,0.0,,14.8,0.037037037037037,CHW,0
"Friday, May 19",CHW,Home,KCR,W,2.0,0.0,9.0,17-29,4.0,7.5,Kopech,Greinke,Graveman,2.1,N,20329.0,0.27,1,,20.0,28.0,32.93932770000001,0.0,,14.8,0.1111111111111111,CHW,1
"Saturday, May 20",CHW,Home,KCR,W,5.0,1.0,9.0,18-29,4.0,7.5,Giolito,Lyles,,2.35,D,23984.0,0.3,2,,15.0,58.0,262.93932770000004,0.0,,16.6,0.1111111111111111,CHW,0
"Sunday, May 21",CHW,Home,KCR,W,5.0,2.0,9.0,19-29,4.0,6.5,Lynn,Castillo,Kelly,2.4333333333333336,D,23556.0,0.33,3,,17.2,41.0,52.93932770000001,0.0,,7.6,0.037037037037037,CHW,1
"Monday, May 22",CHW,@,CLE,L,0.0,3.0,9.0,19-30,4.0,6.5,Gaddis,Scholtens,Clase,2.2666666666666666,N,13878.0,0.43,-1,,17.8,54.0,0.7452076999999804,0.0,,0.0,0.037037037037037,CHW,1
"Tuesday, May 23",CHW,@,CLE,W,4.0,2.0,9.0,20-30,4.0,5.5,Cease,Allen,Graveman,2.4833333333333334,N,14524.0,0.41,1,,15.6,72.0,40.74520769999998,0.0,,11.2,0.074074074074074,CHW,0
"Wednesday, May 24",CHW,@,CLE,W,6.0,0.0,9.0,21-30,4.0,5.5,Kopech,Quantrill,,2.1333333333333333,D,17767.0,0.47,2,,21.7,47.0,160.74520769999998,0.0,,11.2,0.074074074074074,CHW,2
"Thursday, May 25",CHW,@,DET,L,2.0,7.0,9.0,21-31,4.0,6.0,Faedo,Giolito,,2.75,N,15003.0,0.54,-1,,8.5,47.0,208.7729507,0.0,,28.0,0.1111111111111111,CHW,0
"Friday, May 26",CHW,@,DET,W,12.0,3.0,9.0,22-31,4.0,5.0,Lynn,Wentz,,2.6833333333333336,N,21701.0,0.48,1,,9.8,62.0,258.7729507,0.0,,17.0,0.037037037037037,CHW,0
"Saturday, May 27",CHW,@,DET,L,3.0,7.0,9.0,22-32,4.0,6.0,Foley,Kelly,,2.6,D,24685.0,0.55,-1,,13.1,56.0,258.7729507,0.0,,13.0,0.037037037037037,CHW,0
"Sunday, May 28",CHW,@,DET,L-wo,5.0,6.0,10.0,22-33,4.0,6.0,Lange,López,,3.216666666666667,D,22644.0,0.49,-2,,15.5,48.0,248.7729507,0.0,,5.0,0.1111111111111111,CHW,0
"Monday, May 29",CHW,Home,LAA,L,4.0,6.0,9.0,22-34,4.0,7.0,Canning,Kopech,Estévez,2.8166666666666664,N,23599.0,0.35,-3,,17.8,40.0,312.93932770000004,0.0,,11.2,0.1111111111111111,CHW,1
"Tuesday, May 30",CHW,Home,LAA,W,7.0,3.0,9.0,23-34,4.0,6.0,Giolito,Anderson,,2.716666666666667,N,22135.0,0.3,1,,21.7,32.0,322.93932770000004,0.0,,14.8,0.037037037037037,CHW,2
"Wednesday, May 31",CHW,Home,LAA,L,5.0,12.0,9.0,23-35,4.0,7.0,Barria,Lynn,Davidson,2.783333333333333,D,17015.0,0.33,-1,,21.7,44.0,12.939327700000009,0.0,,7.6,0.1111111111111111,CHW,2
"Friday, Jun 2",CHW,Home,DET,W,3.0,0.0,9.0,24-35,4.0,7.5,Middleton,Olson,Graveman,2.533333333333333,N,20229.0,0.35,1,,25.6,56.0,302.93932770000004,0.0,,9.4,0.037037037037037,CHW,3
"Saturday, Jun 3",CHW,Home,DET,W-wo,2.0,1.0,10.0,25-35,4.0,6.5,López,Cisnero,,2.7,D,24674.0,0.37,2,,23.9,40.0,262.93932770000004,0.0,,9.4,0.1111111111111111,CHW,2
"Sunday, Jun 4",CHW,Home,DET,W-wo,6.0,2.0,9.0,26-35,4.0,5.5,Hendriks,Lange,,2.4833333333333334,D,23372.0,0.44,3,,22.8,57.0,272.93932770000004,0.0,,11.2,0.1111111111111111,CHW,2
